solution 623,  585,                   14.867,                    2.039,
solution 624,  585,                   13.886,                    2.823,
solution 625,  587,                   14.738,                    2.087,
solution 626,  588,                   14.731,                    2.088,
solution 627,  588,                   14.683,                    2.134,
solution 628,  589,                   14.005,                    2.684,
solution 629,  584,                   14.356,                    2.407,
solution 630,  584,                   14.325,                    2.429,
solution 631,  586,                   14.281,                    2.436,
solution 632,  588,                   14.595,                    2.137,
solution 633,  588,                   14.774,                    2.044,
solution 634,  585,                   14.871,                    2.032,
solution 635,  588,                   14.229,                    2.473,
solution 636,  588,                   13.953,                    2.794,
solution 637,  588,                   14.037,                    2.634,
solution 638,  584,                   14.300,                    2.431,
solution 639,  586,                   14.153,                    2.564,
solution 640,  584,                   14.594,                    2.220,
solution 641,  587,                   14.924,                    1.975,
solution 642,  585,                   14.907,                    2.000,
solution 643,  586,                   14.883,                    2.018,
solution 644,  588,                   14.770,                    2.051,
solution 645,  588,                   14.882,                    2.021,
solution 646,  586,                   14.277,                    2.460,
solution 647,  587,                   14.168,                    2.545,
solution 648,  588,                   14.690,                    2.124,
solution 649,  590,                   14.543,                    2.221,
solution 650,  587,                   10.803,                    4.516,
solution 651,  592,                   12.905,                    2.830,
solution 652,  589,                   12.372,                    3.203,
solution 653,  594,                   11.103,                    4.242,
solution 654,  591,                   11.594,                    3.827,
solution 655,  593,                   11.154,                    4.178,
solution 656,  591,                   12.181,                    3.370,
solution 657,  595,                   11.150,                    4.219,
solution 658,  595,                   11.609,                    3.787,
solution 659,  593,                   10.967,                    4.300,
solution 660,  592,                   12.764,                    2.886,
solution 661,  592,                   11.504,                    3.917,
solution 662,  592,                   10.819,                    4.463,
solution 663,  593,                   12.584,                    3.065,
solution 664,  589,                   12.660,                    2.984,
solution 665,  593,                   11.375,                    4.071,
solution 666,  596,                   12.213,                    3.331,
